"","X","price","years_old","manufacturer","condition","cylinders","fuel","odometer","title_status","transmission","drive","size","type","paint_color","mileage","manufacturer_luxury","manufacturer_normal","condition_excellent","condition_fair","condition_good","condition_like new","condition_new","condition_salvage","cylinders_3 cylinders","cylinders_4 cylinders","cylinders_5 cylinders","cylinders_6 cylinders","cylinders_8 cylinders","cylinders_10 cylinders","cylinders_12 cylinders","cylinders_other","fuel_diesel","fuel_electric","fuel_gas","fuel_hybrid","fuel_other","title_status_clean","title_status_lien","title_status_missing","title_status_parts only","title_status_rebuilt","title_status_salvage","transmission_automatic","transmission_manual","transmission_other","drive_4wd","drive_fwd","drive_rwd","size_compact","size_full-size","size_mid-size","size_sub-compact","type_bus","type_convertible","type_coupe","type_hatchback","type_mini-van","type_offroad","type_other","type_pickup","type_sedan","type_SUV","type_truck","type_van","type_wagon","paint_color_black","paint_color_blue","paint_color_brown","paint_color_custom","paint_color_green","paint_color_grey","paint_color_orange","paint_color_purple","paint_color_red","paint_color_silver","paint_color_white","paint_color_yellow","mileage_average","mileage_high","mileage_low","mileage_vh","log_price"
"12",11,43995,10,"normal","like new","8 cylinders","gas",5354,"clean","automatic","rwd","full-size","coupe","black","low",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.6918312700797
"13",12,4200,13,"normal","good","6 cylinders","gas",161982,"clean","automatic","fwd","full-size","sedan","white","very-high",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.34283980427146
"14",13,10600,7,"normal","excellent","4 cylinders","gas",82740,"clean","manual","fwd","compact","coupe","white","very-high",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.26860928010016
"15",14,55000,60,"normal","good","8 cylinders","gas",350,"clean","automatic","rwd","full-size","coupe","custom","low",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.9150884642146
"16",15,8950,8,"normal","good","4 cylinders","gas",136602,"clean","automatic","fwd","compact","sedan","black","very-high",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0994088112689
"17",16,4450,14,"normal","good","8 cylinders","gas",171952,"clean","automatic","fwd","mid-size","sedan","black","very-high",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.40065937516029
"18",17,25995,2,"normal","excellent","4 cylinders","gas",33938,"clean","automatic","4wd","mid-size","wagon","grey","high",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10.1656594908178
"19",18,14995,1,"normal","like new","4 cylinders","gas",16654,"clean","automatic","fwd","compact","sedan","black","high",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.61547209118311
"20",19,6000,25,"normal","good","8 cylinders","diesel",260000,"clean","automatic","rwd","full-size","truck","grey","very-high",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.69951474821019
"21",20,12888,3,"normal","excellent","4 cylinders","gas",28213,"clean","manual","fwd","compact","sedan","silver","high",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.46405192485681
