region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
daytona beach,5999,2007,mercury,1,excellent,8 cylinders,gas,126333,automatic,rwd,full-size,sedan,red
daytona beach,15999,2018,chevrolet,1,excellent,6 cylinders,gas,33115,automatic,fwd,mid-size,SUV,red
daytona beach,9800,1991,jeep,1,excellent,6 cylinders,gas,120000,manual,rwd,compact,other,white
daytona beach,5950,2012,chrysler,1,like new,6 cylinders,gas,119000,automatic,fwd,full-size,van,silver
daytona beach,6000,2001,ram,1,good,8 cylinders,gas,132650,automatic,4wd,full-size,pickup,white
daytona beach,9950,1995,chevrolet,1,good,8 cylinders,gas,72000,automatic,rwd,full-size,coupe,white
daytona beach,11500,1986,jeep,1,good,4 cylinders,gas,127500,manual,4wd,mid-size,truck,blue
daytona beach,5995,2012,kia,0,excellent,4 cylinders,gas,96781,automatic,fwd,compact,hatchback,red
daytona beach,8299,2004,ford,1,excellent,6 cylinders,gas,98643,automatic,rwd,compact,coupe,red
daytona beach,2500,2004,dodge,1,excellent,6 cylinders,gas,129146,manual,rwd,mid-size,truck,brown
daytona beach,18900,2012,cadillac,1,excellent,8 cylinders,gas,177707,automatic,4wd,full-size,SUV,brown
daytona beach,28999,2016,chevrolet,1,excellent,8 cylinders,gas,87191,automatic,4wd,full-size,truck,custom
daytona beach,23900,2014,cadillac,1,excellent,8 cylinders,gas,127835,automatic,4wd,full-size,SUV,black
daytona beach,7500,2008,saturn,1,excellent,4 cylinders,gas,84835,manual,rwd,compact,convertible,silver
daytona beach,3900,2005,chevrolet,1,good,6 cylinders,gas,198622,automatic,4wd,mid-size,SUV,grey
daytona beach,21999,2019,nissan,0,excellent,4 cylinders,gas,21855,automatic,rwd,full-size,SUV,silver
daytona beach,34999,2015,infiniti,0,excellent,8 cylinders,gas,40561,automatic,4wd,full-size,SUV,custom
daytona beach,6295,2006,mazda,0,excellent,6 cylinders,gas,126158,automatic,fwd,full-size,sedan,silver
daytona beach,7995,2011,kia,0,excellent,4 cylinders,gas,141135,automatic,fwd,full-size,sedan,silver
daytona beach,5695,2010,mazda,0,excellent,4 cylinders,gas,116873,automatic,fwd,mid-size,sedan,white
daytona beach,6395,2011,chevrolet,1,excellent,4 cylinders,gas,95583,automatic,fwd,full-size,SUV,white
daytona beach,7095,2010,subaru,0,excellent,4 cylinders,gas,142992,automatic,fwd,full-size,sedan,grey
daytona beach,32500,1995,ram,1,like new,6 cylinders,diesel,130000,manual,rwd,full-size,truck,black
daytona beach,7995,2011,subaru,0,excellent,4 cylinders,gas,130320,automatic,4wd,full-size,sedan,grey
daytona beach,2500,2006,chevrolet,1,good,6 cylinders,gas,156337,automatic,fwd,mid-size,sedan,silver
florida keys,7495,2013,nissan,0,excellent,4 cylinders,gas,102550,automatic,fwd,mid-size,sedan,grey
florida keys,10800,2009,bmw,0,like new,6 cylinders,gas,64450,automatic,rwd,compact,coupe,white
ft myers / SW florida,8400,2010,ford,1,excellent,6 cylinders,gas,87000,automatic,rwd,mid-size,convertible,red
ft myers / SW florida,5000,2008,honda,0,good,4 cylinders,gas,190000,automatic,fwd,full-size,sedan,black
ft myers / SW florida,15750,2011,lexus,0,excellent,6 cylinders,gas,84800,automatic,rwd,compact,convertible,grey
ft myers / SW florida,27500,2019,volkswagen,0,excellent,4 cylinders,gas,6288,automatic,fwd,mid-size,SUV,grey
ft myers / SW florida,10000,2000,mercedes-benz,0,excellent,8 cylinders,gas,93000,automatic,rwd,full-size,convertible,white
ft myers / SW florida,14500,2015,ford,1,like new,6 cylinders,gas,124635,automatic,rwd,full-size,pickup,white
ft myers / SW florida,7500,2004,chevrolet,1,excellent,5 cylinders,gas,98000,automatic,rwd,mid-size,pickup,white
