,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
378893,sarasota-bradenton,8495,2006.0,ford,excellent,8 cylinders,gas,138000.0,clean,automatic,rwd,full-size,SUV,black
378928,sarasota-bradenton,11995,2005.0,chevrolet,like new,8 cylinders,gas,155000.0,clean,automatic,4wd,full-size,truck,red
378931,sarasota-bradenton,9995,2008.0,cadillac,like new,6 cylinders,gas,101001.0,clean,automatic,rwd,full-size,sedan,grey
379240,panama city,15900,2017.0,ford,excellent,4 cylinders,gas,27042.0,clean,automatic,fwd,mid-size,SUV,black
379360,panama city,6990,2006.0,ford,good,6 cylinders,gas,127611.0,clean,automatic,4wd,mid-size,SUV,red
379556,sarasota-bradenton,4950,2006.0,kia,excellent,4 cylinders,gas,54250.0,clean,automatic,fwd,sub-compact,sedan,silver
379564,sarasota-bradenton,11995,2012.0,honda,excellent,4 cylinders,gas,70000.0,clean,automatic,fwd,compact,sedan,brown
379565,sarasota-bradenton,4995,2004.0,cadillac,like new,6 cylinders,gas,137000.0,clean,automatic,rwd,full-size,sedan,custom
379595,sarasota-bradenton,3900,2006.0,honda,good,6 cylinders,gas,140000.0,clean,automatic,4wd,full-size,SUV,grey
379608,pensacola,2850,2001.0,lexus,good,4 cylinders,gas,212000.0,clean,automatic,fwd,mid-size,sedan,green
379613,pensacola,4500,1995.0,chevrolet,good,8 cylinders,gas,220000.0,clean,automatic,rwd,full-size,pickup,custom
379697,sarasota-bradenton,5500,2006.0,chrysler,excellent,8 cylinders,gas,72000.0,clean,automatic,fwd,full-size,sedan,black
379731,pensacola,10590,2015.0,nissan,like new,6 cylinders,gas,206217.0,clean,automatic,rwd,full-size,van,white
379732,pensacola,15500,2017.0,chevrolet,like new,4 cylinders,gas,62492.0,clean,automatic,fwd,mid-size,sedan,black
379733,pensacola,14000,2009.0,chevrolet,good,8 cylinders,gas,134895.0,clean,automatic,rwd,full-size,SUV,white
379736,pensacola,4895,2014.0,nissan,excellent,4 cylinders,gas,132000.0,clean,automatic,fwd,mid-size,sedan,white
379737,pensacola,4895,2005.0,ford,excellent,8 cylinders,gas,190000.0,clean,automatic,4wd,full-size,pickup,black
379934,pensacola,22500,2013.0,chevrolet,excellent,8 cylinders,gas,30685.0,clean,automatic,rwd,full-size,truck,white
379949,pensacola,13975,2016.0,dodge,excellent,6 cylinders,gas,67973.0,clean,automatic,fwd,full-size,van,white
380043,pensacola,25995,2017.0,ford,good,6 cylinders,gas,94996.0,clean,automatic,rwd,full-size,SUV,grey
380227,pensacola,7995,2004.0,gmc,good,6 cylinders,gas,154221.0,clean,automatic,4wd,full-size,truck,custom
380237,pensacola,25995,2012.0,ford,good,6 cylinders,gas,79751.0,clean,automatic,4wd,full-size,truck,white
380239,pensacola,14995,2006.0,ford,good,8 cylinders,gas,247816.0,clean,automatic,4wd,full-size,truck,blue
380241,pensacola,14995,2014.0,nissan,good,6 cylinders,gas,172868.0,clean,automatic,rwd,full-size,truck,white
380243,pensacola,12995,2013.0,bmw,good,4 cylinders,gas,118330.0,clean,automatic,4wd,full-size,SUV,white
380244,pensacola,12995,2012.0,cadillac,good,6 cylinders,gas,103602.0,clean,automatic,fwd,full-size,SUV,silver
380246,pensacola,9995,2007.0,ford,good,8 cylinders,gas,166439.0,clean,automatic,rwd,full-size,truck,red
380248,pensacola,22995,2014.0,gmc,good,8 cylinders,gas,127639.0,clean,automatic,4wd,full-size,truck,white
380249,pensacola,21995,2012.0,ford,good,8 cylinders,gas,162703.0,clean,automatic,4wd,full-size,truck,white
380250,pensacola,22995,2013.0,chevrolet,good,8 cylinders,gas,117879.0,clean,automatic,4wd,full-size,truck,silver
380251,pensacola,22995,2015.0,ram,good,8 cylinders,gas,125393.0,clean,automatic,rwd,full-size,truck,silver
380253,pensacola,8995,2014.0,jeep,good,4 cylinders,gas,164129.0,clean,automatic,4wd,full-size,SUV,silver
380254,pensacola,11995,2014.0,jeep,good,4 cylinders,gas,102498.0,clean,automatic,fwd,full-size,SUV,white
380264,pensacola,15695,2013.0,chevrolet,excellent,6 cylinders,gas,82118.0,clean,manual,rwd,full-size,coupe,grey
380328,pensacola,1000,2006.0,honda,good,6 cylinders,gas,174489.0,clean,automatic,fwd,compact,SUV,silver
380339,pensacola,10995,2015.0,chevrolet,good,6 cylinders,gas,93117.0,clean,automatic,fwd,mid-size,SUV,white
380343,pensacola,11995,2017.0,jeep,good,4 cylinders,gas,99318.0,clean,automatic,4wd,mid-size,truck,grey
380349,pensacola,9550,2016.0,kia,good,4 cylinders,gas,60950.0,clean,automatic,fwd,mid-size,sedan,white
380466,pensacola,7595,2006.0,ford,good,6 cylinders,gas,116215.0,clean,automatic,4wd,full-size,SUV,purple
380490,pensacola,12695,2014.0,ram,good,8 cylinders,gas,216124.0,clean,automatic,rwd,full-size,pickup,black
380491,pensacola,12995,2011.0,ford,good,8 cylinders,gas,185214.0,clean,automatic,rwd,full-size,truck,blue
380492,pensacola,19000,2013.0,ford,excellent,8 cylinders,gas,174040.0,clean,automatic,rwd,full-size,truck,black
380514,sarasota-bradenton,10977,2010.0,ford,good,8 cylinders,gas,153246.0,clean,automatic,rwd,full-size,van,white
380515,sarasota-bradenton,6800,2007.0,lexus,excellent,6 cylinders,gas,134700.0,clean,automatic,fwd,full-size,sedan,custom
380533,sarasota-bradenton,3500,2002.0,acura,good,4 cylinders,gas,162000.0,clean,automatic,fwd,compact,hatchback,grey
380553,sarasota-bradenton,5900,2012.0,honda,excellent,4 cylinders,gas,134000.0,clean,automatic,fwd,mid-size,hatchback,red
380578,sarasota-bradenton,9900,1988.0,toyota,excellent,6 cylinders,gas,20500.0,clean,automatic,rwd,mid-size,coupe,white
380815,sarasota-bradenton,1500,1990.0,toyota,good,6 cylinders,gas,109787.0,clean,automatic,fwd,mid-size,coupe,blue
380818,sarasota-bradenton,21000,2017.0,dodge,like new,6 cylinders,gas,17000.0,lien,automatic,fwd,full-size,van,white
380835,treasure coast,2450,2006.0,ford,good,6 cylinders,gas,103000.0,clean,automatic,fwd,full-size,sedan,grey
380836,treasure coast,5500,2010.0,ford,good,4 cylinders,gas,60000.0,clean,automatic,fwd,full-size,sedan,grey
380886,sarasota-bradenton,8495,2006.0,ford,excellent,8 cylinders,gas,138000.0,clean,automatic,rwd,full-size,SUV,black
380931,treasure coast,4950,2006.0,nissan,good,4 cylinders,gas,135000.0,clean,automatic,4wd,full-size,SUV,white
380957,treasure coast,3950,2004.0,nissan,good,4 cylinders,gas,125000.0,clean,automatic,fwd,full-size,sedan,silver
380960,sarasota-bradenton,25500,2019.0,volkswagen,excellent,4 cylinders,gas,12316.0,clean,automatic,4wd,full-size,wagon,black
380977,sarasota-bradenton,5000,2004.0,ford,fair,8 cylinders,gas,159000.0,clean,automatic,rwd,full-size,truck,white
381004,treasure coast,54955,2018.0,mercedes-benz,like new,6 cylinders,gas,14300.0,clean,automatic,4wd,full-size,SUV,grey
381015,sarasota-bradenton,14995,2015.0,mini,excellent,4 cylinders,gas,53115.0,clean,automatic,fwd,mid-size,hatchback,red
381020,sarasota-bradenton,2900,2001.0,ram,fair,6 cylinders,gas,39000.0,clean,automatic,rwd,full-size,van,white
381023,sarasota-bradenton,9000,2014.0,infiniti,good,6 cylinders,hybrid,126000.0,rebuilt,automatic,4wd,mid-size,sedan,silver
381025,sarasota-bradenton,5995,2007.0,volkswagen,good,4 cylinders,gas,180000.0,clean,manual,fwd,compact,hatchback,white
381029,sarasota-bradenton,950,2003.0,buick,fair,6 cylinders,gas,120000.0,clean,automatic,fwd,full-size,sedan,brown
381032,sarasota-bradenton,31990,2015.0,ford,excellent,8 cylinders,diesel,178235.0,clean,automatic,4wd,full-size,pickup,green
381072,sarasota-bradenton,9300,2012.0,toyota,excellent,4 cylinders,hybrid,88900.0,clean,automatic,fwd,compact,other,grey
381073,sarasota-bradenton,15995,2014.0,ram,like new,4 cylinders,diesel,101609.0,clean,automatic,rwd,full-size,van,white
381105,treasure coast,3400,2009.0,mazda,good,4 cylinders,gas,127000.0,clean,automatic,fwd,full-size,hatchback,custom
381118,treasure coast,3950,2006.0,nissan,good,6 cylinders,gas,135000.0,clean,automatic,fwd,full-size,SUV,white
381149,treasure coast,4250,2009.0,kia,good,4 cylinders,gas,84000.0,clean,automatic,fwd,full-size,sedan,blue
381348,treasure coast,9900,2015.0,jeep,excellent,4 cylinders,gas,61834.0,clean,manual,fwd,full-size,SUV,custom
383275,treasure coast,30500,2020.0,nissan,like new,6 cylinders,gas,4509.0,clean,automatic,fwd,mid-size,SUV,grey
383784,treasure coast,22800,2014.0,rover,like new,4 cylinders,gas,92000.0,clean,automatic,4wd,full-size,SUV,black
383828,space coast,2000,2006.0,ford,good,6 cylinders,gas,161000.0,clean,manual,fwd,full-size,sedan,red
383832,space coast,1800,1998.0,bmw,fair,4 cylinders,gas,180000.0,clean,manual,rwd,compact,convertible,green
383992,space coast,4500,2012.0,nissan,excellent,6 cylinders,gas,112000.0,clean,automatic,rwd,mid-size,sedan,white
384346,space coast,19600,2016.0,infiniti,excellent,4 cylinders,gas,73000.0,clean,automatic,rwd,full-size,sedan,white
384448,space coast,49900,2015.0,chevrolet,like new,6 cylinders,diesel,85000.0,clean,automatic,4wd,full-size,truck,black
384586,space coast,9999,2010.0,gmc,excellent,5 cylinders,gas,110258.0,clean,automatic,rwd,mid-size,truck,black
384610,space coast,5999,2010.0,ford,excellent,4 cylinders,gas,99311.0,clean,automatic,rwd,mid-size,SUV,white
