,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
102,1,5.0,luxury,excellent,10 cylinders,gas,30430.0,clean,other,4wd,mid-size,coupe,white
103,1,2.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey
104,1,4.0,normal,excellent,10 cylinders,gas,69813.0,clean,other,4wd,compact,sedan,grey
105,2500,16.0,normal,excellent,6 cylinders,gas,129146.0,clean,manual,rwd,mid-size,truck,brown
106,18900,8.0,luxury,excellent,8 cylinders,gas,177707.0,clean,automatic,4wd,full-size,SUV,brown
107,28999,4.0,normal,excellent,8 cylinders,gas,87191.0,clean,automatic,4wd,full-size,truck,custom
108,23900,6.0,luxury,excellent,8 cylinders,gas,127835.0,clean,automatic,4wd,full-size,SUV,black
109,7500,12.0,normal,excellent,4 cylinders,gas,84835.0,clean,manual,rwd,compact,convertible,silver
110,3900,15.0,normal,good,6 cylinders,gas,198622.0,clean,automatic,4wd,mid-size,SUV,grey
111,21999,1.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver
112,34999,5.0,normal,excellent,8 cylinders,gas,40561.0,clean,automatic,4wd,full-size,SUV,custom
113,6295,14.0,normal,excellent,6 cylinders,gas,126158.0,clean,automatic,fwd,full-size,sedan,silver
114,7995,9.0,normal,excellent,4 cylinders,gas,141135.0,clean,automatic,fwd,full-size,sedan,silver
115,5695,10.0,normal,excellent,4 cylinders,gas,116873.0,clean,automatic,fwd,mid-size,sedan,white
116,6395,9.0,normal,excellent,4 cylinders,gas,95583.0,clean,automatic,fwd,full-size,SUV,white
117,7095,10.0,normal,excellent,4 cylinders,gas,142992.0,clean,automatic,fwd,full-size,sedan,grey
118,32500,25.0,normal,like new,6 cylinders,diesel,130000.0,clean,manual,rwd,full-size,truck,black
119,7995,9.0,normal,excellent,4 cylinders,gas,130320.0,clean,automatic,4wd,full-size,sedan,grey
120,2500,14.0,normal,good,6 cylinders,gas,156337.0,clean,automatic,fwd,mid-size,sedan,silver
121,7495,7.0,normal,excellent,4 cylinders,gas,102550.0,clean,automatic,fwd,mid-size,sedan,grey
122,10800,11.0,luxury,like new,6 cylinders,gas,64450.0,clean,automatic,rwd,compact,coupe,white
123,8400,10.0,normal,excellent,6 cylinders,gas,87000.0,clean,automatic,rwd,mid-size,convertible,red
124,5000,12.0,normal,good,4 cylinders,gas,190000.0,clean,automatic,fwd,full-size,sedan,black
125,15750,9.0,luxury,excellent,6 cylinders,gas,84800.0,clean,automatic,rwd,compact,convertible,grey
126,27500,1.0,normal,excellent,4 cylinders,gas,6288.0,clean,automatic,fwd,mid-size,SUV,grey
127,10000,20.0,luxury,excellent,8 cylinders,gas,93000.0,clean,automatic,rwd,full-size,convertible,white
128,3000,36.0,normal,fair,8 cylinders,gas,1.0,clean,automatic,rwd,full-size,coupe,white
129,14500,5.0,normal,like new,6 cylinders,gas,124635.0,rebuilt,automatic,rwd,full-size,pickup,white
130,7500,16.0,normal,excellent,5 cylinders,gas,98000.0,clean,automatic,rwd,mid-size,pickup,white
131,6799,14.0,normal,excellent,5 cylinders,gas,76937.0,clean,automatic,fwd,compact,convertible,white
132,3950,14.0,luxury,excellent,6 cylinders,gas,209000.0,clean,automatic,4wd,full-size,sedan,red
133,8299,14.0,luxury,excellent,6 cylinders,gas,71754.0,clean,automatic,fwd,full-size,sedan,white
134,5999,12.0,normal,excellent,6 cylinders,gas,79030.0,clean,automatic,fwd,full-size,convertible,silver
135,3900,17.0,normal,excellent,6 cylinders,gas,109000.0,clean,automatic,4wd,full-size,SUV,yellow
136,2900,20.0,normal,excellent,4 cylinders,gas,154000.0,clean,automatic,4wd,full-size,hatchback,red
137,5900,10.0,normal,good,6 cylinders,gas,98000.0,clean,automatic,fwd,full-size,SUV,blue
138,33500,2.0,normal,excellent,6 cylinders,gas,31826.0,clean,automatic,fwd,mid-size,SUV,black
139,10500,8.0,luxury,excellent,4 cylinders,gas,63000.0,clean,automatic,fwd,mid-size,sedan,black
140,7490,8.0,normal,excellent,4 cylinders,gas,80412.0,clean,automatic,fwd,compact,sedan,black
141,10990,9.0,normal,excellent,6 cylinders,gas,105164.0,clean,automatic,fwd,full-size,mini-van,white
142,39900,3.0,normal,excellent,8 cylinders,gas,47221.0,clean,automatic,4wd,full-size,SUV,silver
143,19500,6.0,luxury,like new,6 cylinders,gas,20750.0,clean,automatic,rwd,mid-size,coupe,custom
