,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage
465,6995,10.0,normal,excellent,4 cylinders,gas,110528.0,clean,automatic,fwd,compact,sedan,silver,very-high
466,1950,17.0,luxury,good,6 cylinders,gas,198000.0,clean,automatic,rwd,mid-size,sedan,white,very-high
467,6750,12.0,normal,excellent,6 cylinders,gas,136900.0,clean,automatic,rwd,mid-size,SUV,black,very-high
468,1,8.0,normal,excellent,8 cylinders,gas,109211.0,clean,automatic,4wd,full-size,pickup,black,very-high
469,10995,6.0,normal,excellent,4 cylinders,gas,98274.0,clean,automatic,fwd,mid-size,SUV,orange,very-high
470,8995,8.0,normal,excellent,4 cylinders,gas,100574.0,clean,automatic,fwd,compact,sedan,white,very-high
471,15999,7.0,normal,excellent,6 cylinders,gas,87000.0,clean,automatic,fwd,full-size,SUV,black,very-high
472,8995,8.0,luxury,excellent,6 cylinders,gas,115870.0,clean,automatic,4wd,compact,coupe,blue,very-high
473,8250,20.0,normal,excellent,6 cylinders,gas,180000.0,clean,manual,4wd,full-size,pickup,green,very-high
474,5800,34.0,normal,good,6 cylinders,gas,86000.0,clean,manual,4wd,mid-size,offroad,yellow,very-high
475,4400,19.0,normal,good,8 cylinders,gas,122000.0,clean,automatic,rwd,compact,coupe,black,very-high
476,15000,37.0,normal,excellent,4 cylinders,gas,178000.0,clean,manual,4wd,full-size,truck,red,very-high
477,7000,10.0,normal,excellent,6 cylinders,gas,130534.0,clean,automatic,4wd,full-size,SUV,blue,very-high
478,7000,10.0,normal,excellent,4 cylinders,gas,107272.0,clean,automatic,fwd,full-size,SUV,blue,very-high
479,33500,2.0,normal,like new,8 cylinders,gas,45310.0,clean,automatic,4wd,full-size,SUV,blue,high
480,9500,3.0,normal,excellent,4 cylinders,gas,100497.0,clean,automatic,fwd,full-size,sedan,silver,very-high
481,13495,10.0,normal,like new,6 cylinders,gas,135100.0,clean,automatic,4wd,full-size,pickup,grey,very-high
482,1900,20.0,normal,good,6 cylinders,gas,250000.0,clean,automatic,rwd,mid-size,truck,silver,very-high
483,3000,12.0,normal,good,4 cylinders,gas,141310.0,clean,automatic,fwd,compact,sedan,blue,very-high
484,4600,10.0,normal,excellent,4 cylinders,hybrid,145000.0,clean,automatic,rwd,compact,sedan,silver,very-high
485,11995,17.0,normal,good,8 cylinders,diesel,125700.0,clean,automatic,4wd,full-size,truck,white,very-high
486,13995,9.0,normal,excellent,8 cylinders,gas,187454.0,clean,automatic,rwd,full-size,pickup,grey,very-high
487,16499,8.0,normal,excellent,6 cylinders,gas,197731.0,clean,automatic,4wd,full-size,pickup,grey,very-high
488,17495,6.0,normal,like new,6 cylinders,gas,109616.0,clean,automatic,4wd,full-size,SUV,white,very-high
489,3200,16.0,normal,fair,6 cylinders,gas,50564.0,clean,automatic,rwd,full-size,coupe,silver,very-high
490,11495,9.0,normal,like new,8 cylinders,gas,107631.0,clean,automatic,rwd,full-size,SUV,silver,very-high
491,0,16.0,normal,good,8 cylinders,gas,160000.0,clean,automatic,rwd,full-size,SUV,blue,very-high
492,16988,5.0,normal,good,6 cylinders,gas,120558.0,clean,automatic,rwd,full-size,van,grey,very-high
493,2500,3.0,normal,good,4 cylinders,gas,4220.0,clean,automatic,fwd,compact,sedan,grey,low
494,1500,5.0,normal,good,4 cylinders,gas,45254.0,clean,automatic,fwd,full-size,sedan,grey,high
495,3000,2.0,normal,good,4 cylinders,gas,46347.0,clean,automatic,fwd,full-size,sedan,black,high
496,2000,2.0,normal,good,4 cylinders,gas,53294.0,clean,automatic,fwd,mid-size,sedan,white,very-high
497,26500,9.0,normal,excellent,8 cylinders,diesel,206354.0,clean,automatic,4wd,full-size,truck,white,very-high
498,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high
499,33900,5.0,normal,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white,very-high
500,0,17.0,normal,good,4 cylinders,gas,197000.0,clean,automatic,fwd,compact,coupe,silver,very-high
501,11999,9.0,normal,excellent,6 cylinders,gas,120000.0,clean,automatic,fwd,full-size,mini-van,silver,very-high
502,6100,6.0,normal,excellent,4 cylinders,gas,123000.0,clean,automatic,fwd,compact,hatchback,white,very-high
503,8500,10.0,normal,excellent,6 cylinders,gas,122000.0,clean,automatic,fwd,full-size,mini-van,black,very-high
504,26500,1.0,normal,like new,4 cylinders,gas,21500.0,lien,automatic,4wd,compact,SUV,white,high
505,899,2.0,normal,excellent,4 cylinders,other,40321.0,clean,automatic,fwd,compact,sedan,grey,high
506,9500,6.0,normal,excellent,4 cylinders,gas,108293.0,clean,automatic,fwd,mid-size,SUV,silver,very-high
507,11500,9.0,normal,excellent,6 cylinders,gas,145000.0,clean,automatic,fwd,full-size,SUV,blue,very-high
508,800,2.0,normal,excellent,4 cylinders,other,48000.0,clean,automatic,fwd,compact,sedan,grey,high
509,10795,8.0,luxury,like new,4 cylinders,gas,118019.0,clean,automatic,4wd,full-size,coupe,black,very-high
510,17495,6.0,luxury,like new,6 cylinders,gas,95000.0,clean,automatic,rwd,mid-size,coupe,black,very-high
511,4495,13.0,normal,like new,6 cylinders,gas,177681.0,clean,automatic,rwd,compact,coupe,silver,very-high
512,6995,7.0,normal,like new,4 cylinders,gas,137000.0,clean,manual,fwd,mid-size,hatchback,black,very-high
513,999,2.0,normal,excellent,4 cylinders,other,41000.0,clean,automatic,fwd,compact,sedan,grey,high
514,10995,8.0,normal,like new,4 cylinders,gas,110325.0,clean,manual,fwd,sub-compact,hatchback,grey,very-high
515,18995,9.0,normal,like new,6 cylinders,gas,123000.0,clean,automatic,4wd,full-size,SUV,grey,very-high
516,8400,27.0,normal,excellent,8 cylinders,gas,102840.0,clean,automatic,rwd,mid-size,convertible,red,very-high
517,8499,9.0,luxury,excellent,6 cylinders,gas,118429.0,clean,automatic,rwd,mid-size,convertible,silver,very-high
518,7495,12.0,normal,like new,8 cylinders,gas,122348.0,clean,automatic,rwd,full-size,SUV,white,very-high
519,11595,11.0,luxury,like new,8 cylinders,gas,105825.0,clean,automatic,rwd,full-size,SUV,black,very-high
520,7600,6.0,normal,good,4 cylinders,gas,78000.0,clean,automatic,fwd,full-size,sedan,silver,very-high
521,7490,12.0,normal,excellent,6 cylinders,gas,100910.0,clean,automatic,4wd,mid-size,SUV,silver,very-high
522,22695,5.0,normal,like new,8 cylinders,gas,96530.0,clean,automatic,rwd,full-size,pickup,black,very-high
523,11995,9.0,luxury,like new,6 cylinders,gas,88000.0,clean,automatic,rwd,full-size,sedan,white,very-high
524,20495,9.0,normal,like new,4 cylinders,gas,43695.0,clean,manual,4wd,full-size,sedan,black,high
525,8190,8.0,luxury,like new,4 cylinders,gas,100800.0,clean,automatic,fwd,full-size,hatchback,silver,very-high
526,17495,8.0,normal,like new,8 cylinders,gas,191000.0,clean,automatic,4wd,compact,truck,black,very-high
527,16490,12.0,normal,like new,6 cylinders,gas,53202.0,clean,manual,4wd,compact,offroad,grey,very-high
528,14995,6.0,normal,like new,6 cylinders,gas,148000.0,clean,automatic,4wd,full-size,SUV,white,very-high
529,12995,6.0,normal,like new,4 cylinders,gas,71099.0,clean,manual,fwd,mid-size,hatchback,black,very-high
530,16495,8.0,normal,like new,4 cylinders,gas,76000.0,clean,manual,4wd,full-size,sedan,red,very-high
531,8990,10.0,luxury,excellent,6 cylinders,gas,91835.0,clean,automatic,rwd,mid-size,sedan,black,very-high
532,14995,8.0,normal,like new,4 cylinders,gas,89000.0,clean,manual,4wd,full-size,hatchback,white,very-high
533,3990,12.0,normal,excellent,4 cylinders,hybrid,148000.0,clean,automatic,fwd,mid-size,hatchback,white,very-high
534,8590,13.0,luxury,excellent,6 cylinders,gas,129000.0,clean,automatic,4wd,mid-size,SUV,silver,very-high
535,4700,10.0,normal,excellent,4 cylinders,hybrid,143000.0,clean,automatic,fwd,mid-size,SUV,silver,very-high
536,7990,9.0,luxury,excellent,6 cylinders,gas,137000.0,clean,automatic,rwd,mid-size,sedan,black,very-high
537,25750,2.0,normal,like new,8 cylinders,gas,20000.0,clean,automatic,rwd,full-size,truck,black,high
538,4800,7.0,normal,excellent,4 cylinders,gas,142000.0,clean,automatic,fwd,full-size,sedan,white,very-high
539,2450,14.0,normal,good,6 cylinders,gas,185352.0,clean,automatic,fwd,mid-size,SUV,blue,very-high
540,0,4.0,normal,excellent,6 cylinders,gas,66098.0,clean,automatic,rwd,full-size,sedan,black,very-high
541,1,11.0,normal,excellent,8 cylinders,gas,155000.0,clean,automatic,4wd,full-size,SUV,silver,very-high
542,7999,6.0,normal,excellent,4 cylinders,gas,87692.0,clean,automatic,fwd,full-size,SUV,blue,very-high
543,1,5.0,luxury,excellent,4 cylinders,gas,45289.0,clean,automatic,rwd,compact,sedan,black,high
544,1,8.0,normal,excellent,10 cylinders,gas,80898.0,clean,other,4wd,full-size,truck,grey,very-high
545,1,8.0,normal,excellent,6 cylinders,gas,66000.0,clean,manual,rwd,mid-size,coupe,black,very-high
546,1,6.0,normal,excellent,10 cylinders,gas,43688.0,clean,other,4wd,mid-size,coupe,green,high
547,1,5.0,normal,excellent,6 cylinders,gas,45244.0,clean,automatic,4wd,mid-size,coupe,black,high
548,1,1.0,normal,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom,average
549,1,3.0,normal,excellent,4 cylinders,gas,33934.0,clean,automatic,rwd,mid-size,coupe,grey,high
550,23999,4.0,normal,excellent,6 cylinders,gas,36638.0,clean,other,rwd,mid-size,coupe,custom,high
551,1,5.0,luxury,excellent,10 cylinders,gas,63600.0,clean,other,4wd,compact,sedan,white,very-high
552,1,1.0,luxury,excellent,10 cylinders,electric,18759.0,clean,other,rwd,compact,sedan,custom,high
553,1,3.0,normal,excellent,10 cylinders,gas,44178.0,clean,manual,4wd,mid-size,coupe,grey,high
554,6999,8.0,normal,good,4 cylinders,gas,98593.0,clean,automatic,fwd,mid-size,sedan,black,very-high
555,4900,15.0,normal,excellent,6 cylinders,gas,143000.0,clean,automatic,fwd,full-size,mini-van,green,very-high
556,7000,13.0,normal,good,6 cylinders,gas,181000.0,clean,automatic,4wd,full-size,truck,white,very-high
557,5900,16.0,luxury,excellent,6 cylinders,gas,55000.0,clean,automatic,rwd,compact,convertible,silver,very-high
558,8400,8.0,normal,excellent,6 cylinders,gas,149403.0,clean,automatic,fwd,full-size,mini-van,blue,very-high
559,27500,2.0,normal,like new,6 cylinders,gas,865.0,lien,automatic,rwd,mid-size,coupe,purple,low
560,14800,3.0,normal,excellent,4 cylinders,gas,17.0,clean,automatic,fwd,full-size,sedan,brown,low
561,20800,15.0,normal,excellent,10 cylinders,gas,142000.0,clean,automatic,rwd,full-size,truck,red,very-high
562,9900,9.0,normal,excellent,6 cylinders,gas,157886.0,clean,automatic,4wd,full-size,SUV,black,very-high
563,3500,22.0,normal,excellent,6 cylinders,gas,150000.0,clean,automatic,rwd,full-size,sedan,white,very-high
564,7900,31.0,luxury,like new,8 cylinders,gas,99000.0,clean,automatic,rwd,full-size,sedan,silver,very-high
565,4550,6.0,normal,excellent,4 cylinders,gas,136.0,clean,automatic,fwd,full-size,sedan,silver,low
566,2650,15.0,normal,good,6 cylinders,gas,135000.0,clean,automatic,fwd,mid-size,sedan,black,very-high
567,27000,55.0,normal,excellent,8 cylinders,gas,100000.0,clean,automatic,rwd,full-size,coupe,custom,very-high
568,11000,4.0,normal,like new,4 cylinders,gas,52000.0,rebuilt,automatic,fwd,full-size,sedan,white,very-high
569,7900,7.0,normal,good,4 cylinders,gas,130000.0,rebuilt,automatic,fwd,compact,coupe,blue,very-high
570,7500,7.0,normal,good,4 cylinders,gas,106565.0,rebuilt,automatic,fwd,compact,sedan,red,very-high
571,10000,9.0,luxury,excellent,other,diesel,149000.0,clean,automatic,fwd,full-size,sedan,black,very-high
572,15500,21.0,normal,good,8 cylinders,diesel,208025.0,clean,automatic,4wd,full-size,truck,black,very-high
573,4900,13.0,normal,good,4 cylinders,gas,208000.0,clean,automatic,fwd,compact,sedan,grey,very-high
574,250000,79.0,luxury,excellent,12 cylinders,gas,38.0,clean,manual,rwd,full-size,sedan,black,low
575,5500,24.0,normal,excellent,8 cylinders,gas,120690.0,clean,manual,fwd,full-size,other,red,very-high
576,7999,6.0,normal,good,4 cylinders,gas,91456.0,clean,automatic,fwd,mid-size,sedan,black,very-high
577,11990,10.0,normal,excellent,8 cylinders,gas,104828.0,clean,automatic,4wd,mid-size,coupe,black,very-high
578,15350,4.0,normal,like new,4 cylinders,gas,46400.0,clean,automatic,fwd,compact,sedan,white,high
579,14500,17.0,normal,good,8 cylinders,gas,244583.0,clean,automatic,rwd,full-size,pickup,grey,very-high
580,28999,4.0,normal,excellent,8 cylinders,gas,87191.0,clean,automatic,4wd,full-size,truck,custom,very-high
581,18900,8.0,luxury,excellent,8 cylinders,gas,177707.0,clean,automatic,4wd,full-size,SUV,brown,very-high
582,23900,6.0,luxury,excellent,8 cylinders,gas,127835.0,clean,automatic,4wd,full-size,SUV,black,very-high
583,16900,9.0,normal,excellent,8 cylinders,gas,89220.0,clean,automatic,4wd,full-size,SUV,black,very-high
584,0,10.0,normal,good,4 cylinders,gas,110000.0,clean,automatic,fwd,mid-size,sedan,blue,very-high
585,3400,16.0,normal,good,6 cylinders,gas,140000.0,clean,automatic,rwd,mid-size,sedan,white,very-high
586,8950,14.0,normal,excellent,4 cylinders,gas,85000.0,clean,manual,fwd,sub-compact,coupe,blue,very-high
587,5950,6.0,normal,excellent,4 cylinders,gas,85000.0,clean,automatic,fwd,mid-size,sedan,white,very-high
588,2950,14.0,normal,like new,6 cylinders,gas,117460.0,clean,automatic,rwd,compact,coupe,blue,very-high
589,795,6.0,normal,like new,4 cylinders,gas,64973.0,clean,automatic,fwd,compact,sedan,white,very-high
590,2100,13.0,normal,good,4 cylinders,gas,224000.0,clean,automatic,fwd,compact,sedan,red,very-high
591,11999,5.0,normal,excellent,4 cylinders,gas,70873.0,clean,automatic,fwd,full-size,sedan,grey,very-high
592,899,1.0,normal,like new,4 cylinders,gas,30721.0,clean,automatic,fwd,mid-size,sedan,white,high
593,12999,4.0,normal,excellent,4 cylinders,gas,49454.0,clean,automatic,fwd,mid-size,hatchback,grey,high
594,899,2.0,normal,excellent,4 cylinders,gas,47318.0,clean,automatic,fwd,compact,sedan,black,high
595,11600,10.0,luxury,excellent,6 cylinders,diesel,148000.0,clean,automatic,4wd,full-size,SUV,black,very-high
596,2995,22.0,normal,excellent,4 cylinders,gas,112259.0,clean,automatic,4wd,mid-size,hatchback,white,very-high
597,14990,14.0,normal,good,8 cylinders,diesel,205182.0,clean,automatic,4wd,full-size,truck,blue,very-high
598,21999,1.0,normal,excellent,4 cylinders,gas,21855.0,clean,automatic,rwd,full-size,SUV,silver,high
599,34999,5.0,normal,excellent,8 cylinders,gas,40561.0,clean,automatic,4wd,full-size,SUV,custom,high
600,12999,10.0,luxury,excellent,8 cylinders,gas,105000.0,clean,automatic,rwd,full-size,sedan,black,very-high
601,7950,5.0,normal,excellent,4 cylinders,gas,70000.0,clean,automatic,fwd,mid-size,sedan,silver,very-high
602,4700,12.0,normal,excellent,4 cylinders,gas,172.0,clean,automatic,fwd,full-size,sedan,red,low
603,9700,8.0,luxury,excellent,6 cylinders,gas,81600.0,clean,automatic,4wd,compact,sedan,white,very-high
604,12995,17.0,normal,excellent,8 cylinders,gas,59000.0,clean,automatic,rwd,full-size,SUV,white,very-high
605,13500,5.0,normal,like new,4 cylinders,hybrid,90000.0,clean,automatic,fwd,compact,other,blue,very-high
606,12000,6.0,normal,like new,6 cylinders,gas,18000.0,salvage,automatic,rwd,full-size,pickup,silver,high
607,9950,10.0,normal,excellent,6 cylinders,gas,115437.0,clean,automatic,fwd,full-size,van,custom,very-high
608,0,3.0,normal,excellent,4 cylinders,gas,24385.0,clean,automatic,fwd,compact,sedan,black,high
609,0,3.0,normal,excellent,4 cylinders,gas,12477.0,clean,automatic,fwd,compact,sedan,white,average
610,4995,7.0,normal,good,4 cylinders,gas,197000.0,clean,automatic,fwd,sub-compact,sedan,white,very-high
611,7288,13.0,normal,excellent,8 cylinders,gas,166000.0,clean,automatic,4wd,full-size,SUV,grey,very-high
612,12988,8.0,normal,excellent,6 cylinders,gas,131000.0,clean,automatic,4wd,full-size,SUV,brown,very-high
613,17988,6.0,normal,excellent,8 cylinders,gas,129000.0,clean,automatic,4wd,full-size,truck,yellow,very-high
614,14988,13.0,normal,excellent,8 cylinders,gas,226611.0,clean,automatic,rwd,full-size,truck,black,very-high
615,14988,10.0,normal,excellent,8 cylinders,gas,199000.0,clean,automatic,4wd,full-size,pickup,blue,very-high
616,5900,11.0,normal,good,6 cylinders,gas,122.0,clean,automatic,4wd,mid-size,SUV,blue,low
617,0,3.0,normal,excellent,4 cylinders,gas,38703.0,clean,automatic,4wd,full-size,SUV,grey,high
618,0,3.0,normal,excellent,4 cylinders,gas,26333.0,clean,automatic,rwd,full-size,SUV,custom,high
619,0,3.0,normal,excellent,4 cylinders,gas,58191.0,clean,automatic,fwd,compact,sedan,white,very-high
620,0,15.0,luxury,excellent,6 cylinders,gas,75165.0,clean,automatic,fwd,mid-size,convertible,blue,very-high
621,0,3.0,normal,excellent,6 cylinders,gas,96342.0,clean,automatic,fwd,mid-size,coupe,black,very-high
622,0,2.0,normal,excellent,4 cylinders,gas,50622.0,clean,automatic,fwd,compact,sedan,white,very-high
623,14980,3.0,normal,excellent,4 cylinders,gas,68620.0,clean,automatic,fwd,compact,sedan,red,very-high
624,3995,14.0,normal,excellent,6 cylinders,gas,159869.0,clean,automatic,fwd,full-size,van,white,very-high
625,20800,15.0,normal,excellent,10 cylinders,gas,142000.0,clean,automatic,rwd,full-size,truck,red,very-high
626,15900,3.0,normal,excellent,4 cylinders,gas,27042.0,clean,automatic,fwd,mid-size,SUV,black,high
627,11900,6.0,normal,excellent,4 cylinders,gas,52838.0,clean,automatic,fwd,compact,SUV,white,very-high
628,9990,3.0,normal,good,4 cylinders,gas,47578.0,clean,manual,fwd,compact,SUV,black,high
629,22900,3.0,normal,like new,6 cylinders,gas,49555.0,clean,automatic,fwd,full-size,sedan,silver,high
630,8750,33.0,normal,fair,6 cylinders,gas,68500.0,clean,manual,4wd,full-size,SUV,red,very-high
631,7100,7.0,normal,like new,6 cylinders,gas,123000.0,clean,automatic,fwd,full-size,mini-van,white,very-high
632,6500,13.0,normal,good,8 cylinders,gas,295860.0,clean,automatic,4wd,full-size,pickup,white,very-high
633,19500,5.0,luxury,good,6 cylinders,gas,60900.0,lien,automatic,rwd,mid-size,sedan,grey,very-high
634,7500,10.0,normal,good,6 cylinders,gas,135777.0,clean,automatic,fwd,full-size,sedan,black,very-high
635,7999,31.0,normal,good,8 cylinders,gas,71000.0,clean,automatic,4wd,full-size,SUV,white,very-high
636,76000,5.0,normal,like new,8 cylinders,gas,31589.0,clean,automatic,rwd,compact,hatchback,white,high
637,2000,24.0,normal,fair,6 cylinders,gas,195000.0,clean,automatic,fwd,full-size,sedan,white,very-high
638,7800,17.0,normal,good,8 cylinders,gas,183796.0,clean,automatic,rwd,full-size,pickup,red,very-high
639,8900,12.0,luxury,excellent,6 cylinders,gas,156000.0,clean,automatic,fwd,full-size,SUV,grey,very-high
640,8900,12.0,luxury,excellent,6 cylinders,gas,156000.0,clean,automatic,fwd,full-size,SUV,grey,very-high
641,16495,8.0,luxury,good,6 cylinders,gas,237439.0,clean,automatic,rwd,full-size,van,white,very-high
642,24995,6.0,normal,good,8 cylinders,gas,128010.0,clean,automatic,4wd,full-size,truck,blue,very-high
643,7995,14.0,normal,good,4 cylinders,gas,142911.0,clean,manual,4wd,full-size,SUV,silver,very-high
644,24995,5.0,normal,good,8 cylinders,gas,129699.0,clean,automatic,rwd,full-size,truck,grey,very-high
645,10995,13.0,normal,good,8 cylinders,gas,206671.0,clean,automatic,rwd,full-size,truck,silver,very-high
646,22995,4.0,normal,good,6 cylinders,gas,101976.0,clean,automatic,fwd,full-size,van,white,very-high
647,10995,11.0,luxury,good,6 cylinders,gas,135531.0,clean,automatic,4wd,full-size,SUV,silver,very-high
648,18995,7.0,normal,good,6 cylinders,gas,166509.0,clean,automatic,rwd,full-size,truck,black,very-high
649,17995,10.0,normal,good,6 cylinders,gas,113695.0,clean,automatic,rwd,full-size,truck,brown,very-high
650,14680,1.0,normal,excellent,4 cylinders,gas,14164.0,clean,automatic,fwd,compact,sedan,white,average
651,9180,5.0,normal,excellent,4 cylinders,gas,90670.0,clean,automatic,fwd,mid-size,SUV,brown,very-high
652,10890,7.0,normal,excellent,8 cylinders,gas,201152.0,clean,automatic,rwd,full-size,van,white,very-high
653,17500,5.0,normal,excellent,8 cylinders,gas,86359.0,clean,automatic,rwd,full-size,van,white,very-high
654,22795,2.0,normal,like new,4 cylinders,gas,9487.0,clean,automatic,4wd,mid-size,SUV,red,average
655,12750,9.0,normal,excellent,8 cylinders,gas,213057.0,clean,automatic,rwd,full-size,pickup,grey,very-high
656,14500,7.0,normal,excellent,6 cylinders,gas,81517.0,clean,automatic,rwd,full-size,truck,grey,very-high
657,15700,9.0,normal,excellent,6 cylinders,gas,30800.0,clean,automatic,fwd,compact,coupe,black,high
658,25900,5.0,luxury,excellent,4 cylinders,gas,45108.0,clean,automatic,4wd,full-size,sedan,white,high
659,3500,8.0,normal,good,4 cylinders,gas,167000.0,clean,automatic,fwd,compact,sedan,grey,very-high
660,22495,2.0,normal,like new,4 cylinders,gas,14568.0,clean,automatic,fwd,mid-size,SUV,blue,average
661,23495,6.0,normal,excellent,8 cylinders,gas,144412.0,clean,automatic,4wd,full-size,pickup,white,very-high
662,7995,16.0,normal,excellent,4 cylinders,gas,145217.0,clean,manual,rwd,mid-size,SUV,silver,very-high
663,9595,7.0,normal,good,4 cylinders,gas,136125.0,clean,automatic,4wd,mid-size,SUV,silver,very-high
664,11480,7.0,normal,excellent,8 cylinders,gas,156300.0,clean,automatic,fwd,full-size,truck,silver,very-high
665,13995,7.0,normal,excellent,4 cylinders,gas,91512.0,clean,automatic,fwd,mid-size,SUV,blue,very-high
666,11695,15.0,normal,excellent,8 cylinders,gas,130215.0,clean,automatic,rwd,full-size,truck,brown,very-high
667,12890,13.0,normal,excellent,8 cylinders,gas,129524.0,clean,automatic,4wd,full-size,truck,white,very-high
668,3500,15.0,normal,good,6 cylinders,gas,171829.0,clean,automatic,fwd,full-size,van,white,very-high
669,14400,3.0,normal,excellent,4 cylinders,gas,56130.0,clean,automatic,fwd,compact,SUV,white,very-high
670,8680,8.0,normal,excellent,4 cylinders,gas,69330.0,clean,automatic,fwd,compact,sedan,grey,very-high
671,6995,12.0,normal,good,4 cylinders,gas,93982.0,clean,automatic,fwd,full-size,SUV,silver,very-high
672,25995,5.0,normal,good,8 cylinders,gas,174699.0,clean,automatic,4wd,full-size,truck,white,very-high
673,18995,8.0,normal,good,6 cylinders,gas,114733.0,clean,automatic,fwd,full-size,van,grey,very-high
674,9995,7.0,normal,good,4 cylinders,gas,115067.0,clean,automatic,fwd,full-size,SUV,grey,very-high
675,8000,14.0,normal,excellent,8 cylinders,gas,98012.0,clean,automatic,rwd,full-size,van,white,very-high
676,875,15.0,normal,good,8 cylinders,gas,221000.0,parts only,automatic,rwd,full-size,pickup,white,very-high
677,2500,24.0,normal,good,8 cylinders,gas,163000.0,clean,automatic,rwd,mid-size,coupe,black,very-high
678,12500,8.0,luxury,excellent,6 cylinders,gas,91000.0,clean,automatic,rwd,mid-size,convertible,black,very-high
679,1000,14.0,normal,good,6 cylinders,gas,168039.0,clean,automatic,fwd,compact,SUV,custom,very-high
680,10999,8.0,normal,excellent,4 cylinders,gas,79808.0,clean,automatic,fwd,sub-compact,sedan,white,very-high
681,19400,7.0,luxury,like new,6 cylinders,gas,91000.0,clean,automatic,rwd,mid-size,SUV,black,very-high
682,17999,9.0,luxury,excellent,6 cylinders,gas,103857.0,clean,automatic,rwd,mid-size,sedan,silver,very-high
683,11999,8.0,normal,excellent,6 cylinders,gas,126520.0,clean,automatic,4wd,compact,sedan,black,very-high
684,5500,12.0,normal,good,4 cylinders,gas,99810.0,clean,automatic,fwd,mid-size,sedan,white,very-high
685,32358,3.0,normal,excellent,6 cylinders,gas,32358.0,clean,automatic,fwd,compact,sedan,white,high
686,6500,2.0,normal,like new,4 cylinders,gas,24951.0,rebuilt,automatic,fwd,full-size,sedan,black,high
687,13995,5.0,normal,like new,6 cylinders,gas,124630.0,rebuilt,automatic,rwd,full-size,pickup,white,very-high
688,5600,10.0,normal,good,4 cylinders,gas,95500.0,clean,automatic,fwd,full-size,sedan,grey,very-high
689,1500,35.0,normal,fair,8 cylinders,gas,176000.0,clean,automatic,rwd,full-size,other,custom,very-high
690,21465,8.0,luxury,excellent,6 cylinders,gas,17463.0,clean,automatic,rwd,mid-size,hatchback,white,high
691,8799,21.0,normal,excellent,4 cylinders,gas,61500.0,clean,manual,rwd,sub-compact,convertible,black,very-high
692,14990,7.0,luxury,excellent,4 cylinders,gas,105906.0,clean,automatic,fwd,mid-size,sedan,black,very-high
693,5400,14.0,normal,excellent,4 cylinders,gas,144000.0,clean,automatic,fwd,compact,sedan,grey,very-high
694,9450,6.0,normal,excellent,6 cylinders,gas,121000.0,clean,automatic,4wd,full-size,SUV,grey,very-high
695,47500,3.0,normal,like new,6 cylinders,gas,33700.0,clean,automatic,4wd,mid-size,SUV,black,high
696,10900,7.0,normal,like new,6 cylinders,gas,75700.0,clean,automatic,rwd,mid-size,SUV,silver,very-high
697,20800,6.0,normal,excellent,6 cylinders,gas,135014.0,clean,automatic,4wd,full-size,pickup,silver,very-high
698,18500,8.0,normal,excellent,8 cylinders,gas,95784.0,clean,automatic,rwd,full-size,pickup,black,very-high
699,5499,13.0,luxury,excellent,6 cylinders,gas,80000.0,clean,automatic,rwd,mid-size,sedan,black,very-high
700,6995,10.0,normal,excellent,8 cylinders,gas,146445.0,rebuilt,automatic,rwd,full-size,sedan,red,very-high
701,2450,26.0,luxury,good,4 cylinders,gas,131000.0,clean,manual,rwd,mid-size,convertible,white,very-high
702,4850,8.0,normal,excellent,4 cylinders,gas,75000.0,clean,manual,fwd,mid-size,sedan,blue,very-high
703,4750,11.0,normal,excellent,4 cylinders,gas,70000.0,clean,automatic,fwd,mid-size,sedan,black,very-high
704,2000,13.0,normal,fair,4 cylinders,gas,157000.0,rebuilt,automatic,fwd,mid-size,sedan,silver,very-high
705,30500,4.0,normal,excellent,6 cylinders,gas,10704.0,clean,automatic,4wd,full-size,SUV,white,average
706,22990,4.0,luxury,excellent,4 cylinders,gas,69998.0,clean,automatic,rwd,compact,convertible,white,very-high
707,12500,8.0,normal,good,8 cylinders,gas,174000.0,clean,automatic,rwd,full-size,truck,red,very-high
708,13900,7.0,normal,excellent,6 cylinders,gas,0.0,clean,automatic,rwd,compact,coupe,blue,low
709,10900,8.0,normal,excellent,6 cylinders,gas,94310.0,clean,automatic,fwd,mid-size,sedan,grey,very-high
710,7900,10.0,normal,excellent,4 cylinders,gas,111360.0,clean,automatic,fwd,mid-size,sedan,blue,very-high
711,4800,15.0,normal,excellent,6 cylinders,gas,187000.0,clean,automatic,fwd,mid-size,sedan,grey,very-high
712,6000,20.0,luxury,excellent,4 cylinders,gas,101000.0,clean,manual,4wd,compact,coupe,silver,very-high
713,7650,9.0,luxury,excellent,6 cylinders,gas,122000.0,clean,automatic,4wd,mid-size,sedan,grey,very-high
714,5400,8.0,normal,good,4 cylinders,gas,95000.0,clean,automatic,fwd,compact,sedan,red,very-high
715,6000,7.0,normal,excellent,4 cylinders,gas,94000.0,clean,automatic,fwd,compact,hatchback,black,very-high
716,4850,20.0,normal,excellent,6 cylinders,gas,95000.0,clean,manual,rwd,full-size,coupe,white,very-high
