,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage
2219,34950,4.0,normal,excellent,8 cylinders,gas,37296.0,clean,automatic,4wd,full-size,truck,black,high
2220,4000,14.0,normal,fair,4 cylinders,gas,145000.0,clean,manual,fwd,compact,coupe,silver,very-high
2221,6300,6.0,normal,good,4 cylinders,gas,125595.0,clean,manual,fwd,full-size,sedan,grey,very-high
2222,18800,8.0,normal,excellent,8 cylinders,diesel,266538.0,clean,automatic,4wd,full-size,truck,white,very-high
2223,8500,9.0,normal,excellent,6 cylinders,gas,170040.0,rebuilt,automatic,fwd,mid-size,mini-van,grey,very-high
2224,2800,24.0,normal,good,6 cylinders,gas,124500.0,clean,manual,rwd,compact,coupe,purple,very-high
2225,18500,3.0,normal,like new,4 cylinders,gas,47000.0,clean,automatic,fwd,mid-size,sedan,grey,high
2226,11900,7.0,normal,excellent,6 cylinders,gas,114552.0,clean,automatic,fwd,full-size,SUV,blue,very-high
2227,19950,5.0,luxury,excellent,6 cylinders,gas,25000.0,clean,automatic,rwd,mid-size,sedan,red,high
2228,6500,19.0,normal,like new,4 cylinders,gas,101000.0,rebuilt,manual,4wd,mid-size,wagon,white,very-high
2229,15900,3.0,normal,excellent,4 cylinders,gas,25961.0,clean,other,fwd,compact,sedan,grey,high
2230,9500,9.0,normal,excellent,10 cylinders,gas,85149.0,clean,other,4wd,compact,sedan,custom,very-high
2231,15900,6.0,luxury,excellent,10 cylinders,gas,44199.0,clean,automatic,rwd,compact,sedan,custom,high
2232,18900,3.0,normal,excellent,10 cylinders,gas,34786.0,clean,other,4wd,compact,sedan,black,high
2233,6900,11.0,normal,excellent,10 cylinders,gas,87936.0,clean,automatic,4wd,full-size,SUV,grey,very-high
2234,16900,6.0,normal,excellent,10 cylinders,gas,32360.0,clean,other,4wd,compact,sedan,silver,high
2235,12900,5.0,normal,excellent,10 cylinders,gas,18143.0,clean,other,4wd,full-size,van,custom,high
2236,13900,8.0,luxury,excellent,10 cylinders,gas,73685.0,clean,other,4wd,full-size,SUV,custom,very-high
2237,4900,12.0,normal,excellent,10 cylinders,gas,106445.0,clean,other,4wd,compact,sedan,custom,very-high
2238,5900,12.0,normal,excellent,10 cylinders,gas,77999.0,clean,automatic,fwd,compact,hatchback,blue,very-high
2239,3900,12.0,normal,excellent,10 cylinders,gas,109452.0,clean,other,4wd,compact,sedan,silver,very-high
2240,6900,6.0,normal,excellent,10 cylinders,gas,80800.0,clean,manual,4wd,compact,sedan,silver,very-high
2241,2900,14.0,normal,excellent,10 cylinders,gas,132917.0,clean,automatic,4wd,compact,sedan,silver,very-high
2242,6900,8.0,normal,excellent,10 cylinders,gas,70904.0,clean,other,4wd,compact,sedan,silver,very-high
2243,2900,14.0,normal,excellent,10 cylinders,gas,127605.0,clean,automatic,fwd,compact,sedan,white,very-high
2244,8400,9.0,normal,excellent,10 cylinders,gas,65258.0,clean,other,4wd,compact,sedan,black,very-high
2245,3900,14.0,normal,excellent,10 cylinders,gas,85575.0,clean,other,4wd,compact,sedan,custom,very-high
2246,20950,5.0,luxury,excellent,6 cylinders,gas,25000.0,clean,automatic,rwd,mid-size,sedan,red,high
2247,1400,16.0,normal,good,6 cylinders,gas,200.0,clean,automatic,fwd,mid-size,sedan,black,low
2248,15999,8.0,normal,excellent,6 cylinders,gas,66000.0,clean,manual,rwd,mid-size,coupe,black,very-high
2249,25999,4.0,luxury,excellent,6 cylinders,gas,53898.0,clean,automatic,rwd,full-size,SUV,silver,very-high
2250,22999,4.0,normal,excellent,6 cylinders,gas,36638.0,clean,other,rwd,mid-size,coupe,custom,high
2251,76999,2.0,normal,excellent,8 cylinders,gas,30875.0,clean,automatic,4wd,full-size,SUV,black,high
2252,9995,8.0,normal,excellent,6 cylinders,gas,105395.0,clean,automatic,rwd,sub-compact,coupe,black,very-high
2253,9995,7.0,normal,excellent,4 cylinders,gas,59204.0,clean,automatic,fwd,mid-size,sedan,blue,very-high
2254,11495,6.0,normal,excellent,4 cylinders,gas,86623.0,clean,automatic,fwd,mid-size,sedan,silver,very-high
2255,10995,4.0,normal,excellent,4 cylinders,gas,77166.0,clean,automatic,fwd,compact,sedan,white,very-high
2256,17995,5.0,normal,excellent,6 cylinders,gas,63554.0,clean,automatic,4wd,full-size,SUV,black,very-high
2257,10995,9.0,normal,excellent,6 cylinders,gas,77707.0,clean,automatic,4wd,full-size,SUV,silver,very-high
2258,1300,16.0,normal,good,4 cylinders,gas,142000.0,clean,manual,fwd,compact,hatchback,blue,very-high
2259,11499,3.0,normal,excellent,4 cylinders,gas,40000.0,clean,automatic,fwd,compact,sedan,red,high
2260,6750,4.0,normal,like new,4 cylinders,gas,26500.0,rebuilt,automatic,fwd,compact,hatchback,silver,high
2261,10990,10.0,normal,excellent,8 cylinders,gas,141050.0,clean,automatic,rwd,full-size,SUV,black,very-high
2262,7295,15.0,normal,excellent,4 cylinders,gas,78000.0,clean,manual,rwd,sub-compact,convertible,green,very-high
2263,5990,7.0,normal,good,4 cylinders,gas,141154.0,clean,automatic,fwd,full-size,SUV,red,very-high
2264,8490,11.0,normal,good,4 cylinders,gas,122117.0,clean,manual,fwd,mid-size,coupe,black,very-high
2265,21990,6.0,normal,excellent,6 cylinders,gas,117654.0,clean,automatic,4wd,full-size,pickup,red,very-high
2266,59990,3.0,normal,excellent,8 cylinders,diesel,71012.0,clean,automatic,4wd,full-size,pickup,grey,very-high
2267,28500,2.0,normal,excellent,6 cylinders,gas,19500.0,clean,automatic,fwd,full-size,van,brown,high
2268,3500,16.0,normal,good,6 cylinders,gas,132000.0,clean,automatic,rwd,full-size,SUV,black,very-high
2269,750,32.0,normal,fair,4 cylinders,gas,105000.0,clean,automatic,fwd,mid-size,sedan,white,very-high
2270,3800,12.0,normal,excellent,4 cylinders,gas,137000.0,clean,manual,fwd,compact,sedan,black,very-high
2271,20800,9.0,normal,excellent,8 cylinders,gas,113608.0,clean,automatic,4wd,full-size,pickup,red,very-high
2272,15990,5.0,normal,excellent,4 cylinders,gas,41741.0,clean,automatic,fwd,full-size,SUV,black,high
2273,20990,3.0,normal,excellent,6 cylinders,gas,36176.0,clean,automatic,fwd,full-size,sedan,white,high
2274,3250,12.0,normal,good,4 cylinders,gas,163123.0,clean,automatic,fwd,compact,sedan,silver,very-high
