,Unnamed: 0,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
2996,2996,17500,2020.0,normal,excellent,4 cylinders,gas,12300.0,clean,automatic,fwd,compact,hatchback,black
3034,3034,21000,2019.0,normal,excellent,4 cylinders,gas,45000.0,clean,automatic,fwd,mid-size,SUV,white
3048,3048,26000,2019.0,normal,like new,4 cylinders,gas,9600.0,clean,automatic,rwd,mid-size,pickup,grey
3055,3055,35782,2019.0,normal,excellent,6 cylinders,gas,12484.0,clean,automatic,fwd,full-size,SUV,black
3056,3056,23995,2018.0,normal,like new,8 cylinders,gas,15785.0,clean,automatic,rwd,full-size,van,white
3059,3059,26000,2019.0,normal,like new,4 cylinders,gas,40000.0,clean,automatic,fwd,mid-size,SUV,white
3083,3083,0,2018.0,normal,excellent,4 cylinders,gas,50622.0,clean,automatic,fwd,compact,sedan,white
3175,3175,23995,2019.0,normal,good,4 cylinders,gas,32448.0,clean,automatic,fwd,full-size,van,grey
3178,3178,20000,2019.0,luxury,salvage,other,electric,60000.0,salvage,automatic,rwd,full-size,sedan,white
3207,3207,31983,2020.0,normal,good,6 cylinders,gas,17900.0,clean,automatic,rwd,full-size,truck,grey
3208,3208,26500,2019.0,normal,like new,8 cylinders,gas,13299.0,clean,automatic,rwd,full-size,truck,white
3209,3209,35200,2019.0,normal,like new,6 cylinders,gas,6742.0,clean,automatic,rwd,full-size,van,white
3211,3211,20500,2018.0,normal,like new,8 cylinders,gas,31970.0,clean,automatic,rwd,full-size,van,white
3215,3215,19500,2019.0,normal,good,8 cylinders,gas,20182.0,rebuilt,automatic,rwd,full-size,pickup,black
3226,3226,26300,2019.0,normal,like new,8 cylinders,gas,13625.0,clean,automatic,rwd,full-size,truck,white
3227,3227,28900,2019.0,normal,like new,8 cylinders,gas,17543.0,clean,automatic,rwd,full-size,truck,white
3246,3246,16995,2018.0,normal,excellent,6 cylinders,gas,49713.0,clean,automatic,fwd,mid-size,mini-van,grey
3247,3247,19995,2019.0,normal,excellent,4 cylinders,gas,12086.0,clean,automatic,fwd,sub-compact,sedan,blue
3251,3251,12250,2018.0,normal,like new,4 cylinders,gas,72136.0,rebuilt,automatic,fwd,full-size,sedan,grey
3253,3253,27995,2018.0,luxury,excellent,4 cylinders,gas,17119.0,clean,automatic,rwd,sub-compact,coupe,white
3255,3255,15000,2019.0,normal,like new,4 cylinders,gas,6317.0,rebuilt,automatic,fwd,full-size,sedan,white
3256,3256,23995,2018.0,normal,excellent,4 cylinders,gas,22255.0,clean,automatic,fwd,sub-compact,sedan,blue
3257,3257,17995,2018.0,normal,excellent,4 cylinders,gas,16152.0,clean,automatic,fwd,sub-compact,sedan,silver
3260,3260,15300,2019.0,normal,like new,4 cylinders,gas,3296.0,rebuilt,automatic,fwd,full-size,sedan,blue
3266,3266,23500,2018.0,normal,excellent,6 cylinders,gas,23000.0,clean,automatic,4wd,mid-size,SUV,grey
3271,3271,25995,2019.0,normal,excellent,4 cylinders,gas,18882.0,clean,automatic,fwd,mid-size,SUV,white
3294,3294,22750,2019.0,normal,like new,4 cylinders,gas,1253.0,clean,automatic,fwd,mid-size,sedan,grey
3297,3297,1,2018.0,normal,excellent,10 cylinders,gas,34945.0,clean,other,4wd,mid-size,coupe,grey
3306,3306,1,2018.0,luxury,excellent,10 cylinders,gas,36225.0,clean,other,4wd,compact,sedan,silver
3344,3344,21500,2019.0,normal,excellent,4 cylinders,gas,3978.0,clean,automatic,fwd,mid-size,SUV,blue
3393,3393,23995,2019.0,normal,like new,6 cylinders,gas,30317.0,clean,automatic,fwd,full-size,sedan,blue
3413,3413,55000,2020.0,luxury,like new,other,electric,11000.0,clean,other,4wd,mid-size,sedan,red
3426,3426,19909,2018.0,normal,like new,4 cylinders,gas,27087.0,clean,automatic,fwd,full-size,sedan,black
3468,3468,30177,2018.0,normal,like new,6 cylinders,gas,48954.0,clean,automatic,fwd,full-size,SUV,black
3484,3484,40600,2019.0,normal,excellent,6 cylinders,gas,9331.0,clean,automatic,4wd,full-size,SUV,red
3490,3490,25000,2018.0,normal,like new,6 cylinders,gas,23500.0,clean,automatic,fwd,full-size,sedan,white
3515,3515,29995,2019.0,normal,like new,8 cylinders,gas,24000.0,lien,automatic,rwd,full-size,truck,red
3524,3524,79989,2020.0,luxury,like new,8 cylinders,gas,3345.0,clean,automatic,4wd,full-size,SUV,white
3564,3564,38500,2019.0,normal,like new,6 cylinders,gas,8600.0,clean,automatic,rwd,mid-size,SUV,white
3625,3625,1,2019.0,normal,excellent,6 cylinders,gas,42397.0,clean,automatic,rwd,full-size,truck,custom
3627,3627,1,2020.0,normal,excellent,6 cylinders,gas,5262.0,clean,automatic,rwd,compact,sedan,grey
3628,3628,1,2018.0,luxury,excellent,10 cylinders,gas,36225.0,clean,other,4wd,compact,sedan,silver
3699,3699,15998,2018.0,normal,like new,3 cylinders,gas,34725.0,clean,automatic,fwd,compact,SUV,grey
3715,3715,17000,2019.0,normal,like new,4 cylinders,gas,32633.0,clean,automatic,fwd,compact,sedan,grey
3764,3764,57950,2020.0,normal,excellent,8 cylinders,gas,3720.0,clean,automatic,4wd,full-size,pickup,white
3765,3765,36495,2019.0,normal,like new,8 cylinders,gas,31657.0,clean,automatic,4wd,full-size,pickup,white
3766,3766,36950,2019.0,normal,like new,8 cylinders,gas,22750.0,clean,automatic,4wd,full-size,pickup,grey
3768,3768,33495,2018.0,normal,like new,8 cylinders,gas,57217.0,clean,automatic,4wd,full-size,pickup,red
3822,3822,34950,2019.0,normal,excellent,8 cylinders,gas,42125.0,clean,automatic,4wd,full-size,truck,white
3823,3823,33950,2018.0,normal,like new,8 cylinders,gas,57217.0,clean,automatic,4wd,full-size,truck,red
3829,3829,37250,2019.0,normal,excellent,8 cylinders,gas,22750.0,clean,automatic,4wd,full-size,truck,grey
3853,3853,45450,2019.0,normal,new,8 cylinders,gas,9281.0,clean,automatic,4wd,full-size,truck,blue
3854,3854,20998,2018.0,normal,like new,6 cylinders,gas,43300.0,clean,automatic,fwd,full-size,other,silver
3859,3859,17995,2019.0,normal,excellent,4 cylinders,gas,25271.0,clean,automatic,fwd,full-size,sedan,black
3860,3860,14995,2019.0,normal,like new,4 cylinders,gas,8904.0,clean,automatic,fwd,compact,sedan,silver
3950,3950,20995,2018.0,normal,excellent,8 cylinders,gas,40147.0,clean,automatic,rwd,full-size,van,white
3952,3952,15600,2019.0,normal,like new,6 cylinders,gas,36373.0,clean,automatic,fwd,full-size,mini-van,silver
3989,3989,25999,2019.0,normal,excellent,6 cylinders,gas,15710.0,clean,automatic,rwd,mid-size,coupe,purple
3990,3990,37999,2018.0,normal,excellent,8 cylinders,gas,20316.0,clean,automatic,rwd,mid-size,coupe,black
3991,3991,25999,2019.0,normal,excellent,6 cylinders,gas,17560.0,clean,automatic,rwd,mid-size,coupe,black
4006,4006,22500,2018.0,normal,good,4 cylinders,gas,27060.0,clean,automatic,fwd,mid-size,sedan,black
4025,4025,29500,2020.0,normal,like new,4 cylinders,gas,2225.0,lien,automatic,fwd,compact,convertible,black
4029,4029,24996,2020.0,normal,new,4 cylinders,gas,2363.0,clean,automatic,4wd,mid-size,SUV,grey
4111,4111,25500,2019.0,normal,excellent,4 cylinders,gas,12316.0,clean,automatic,4wd,full-size,wagon,black
4113,4113,54955,2018.0,luxury,like new,6 cylinders,gas,14300.0,clean,automatic,4wd,full-size,SUV,grey
4126,4126,30500,2020.0,normal,like new,6 cylinders,gas,4509.0,clean,automatic,fwd,mid-size,SUV,grey
4138,4138,28999,2018.0,normal,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
4140,4140,31999,2018.0,normal,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
4144,4144,30999,2019.0,normal,excellent,6 cylinders,gas,42397.0,clean,automatic,rwd,full-size,truck,custom
4146,4146,25999,2019.0,normal,excellent,6 cylinders,gas,14954.0,clean,automatic,rwd,full-size,truck,custom
4204,4204,8700,2018.0,normal,like new,3 cylinders,gas,60322.0,clean,automatic,fwd,mid-size,sedan,red
4205,4205,79800,2020.0,luxury,like new,8 cylinders,gas,3345.0,clean,automatic,4wd,full-size,SUV,white
4220,4220,79900,2020.0,luxury,like new,8 cylinders,gas,3000.0,clean,automatic,4wd,full-size,SUV,white
4225,4225,78900,2020.0,luxury,like new,8 cylinders,gas,3200.0,clean,automatic,4wd,full-size,SUV,white
4227,4227,55000,2018.0,normal,like new,8 cylinders,gas,7000.0,lien,manual,rwd,compact,coupe,blue
4284,4284,16995,2018.0,normal,like new,4 cylinders,gas,21238.0,clean,automatic,fwd,sub-compact,sedan,black
4286,4286,28999,2018.0,normal,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
4287,4287,31999,2018.0,normal,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
4306,4306,29991,2019.0,normal,like new,other,electric,5293.0,clean,automatic,fwd,compact,other,grey
4308,4308,62500,2018.0,normal,like new,6 cylinders,gas,20597.0,clean,automatic,4wd,full-size,offroad,grey
4322,4322,12500,2018.0,normal,excellent,4 cylinders,gas,76121.0,clean,automatic,fwd,compact,sedan,red
4323,4323,53900,2019.0,normal,excellent,8 cylinders,gas,23364.0,clean,automatic,rwd,full-size,SUV,silver
4325,4325,75900,2020.0,luxury,excellent,8 cylinders,gas,8732.0,clean,automatic,4wd,full-size,SUV,white
4342,4342,14995,2019.0,normal,like new,4 cylinders,gas,8904.0,clean,automatic,fwd,compact,sedan,silver
4366,4366,33990,2019.0,luxury,excellent,4 cylinders,gas,48252.0,clean,automatic,rwd,compact,coupe,grey
4371,4371,28999,2018.0,normal,excellent,8 cylinders,gas,86243.0,clean,automatic,4wd,full-size,truck,white
4373,4373,31999,2018.0,normal,excellent,8 cylinders,gas,45508.0,clean,automatic,4wd,full-size,truck,black
4429,4429,34995,2019.0,normal,like new,6 cylinders,gas,15450.0,clean,automatic,rwd,full-size,truck,black
